,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
655,Tied Ribbons World's Greatest Brother Printed Gift for ...,Tied,NaN,"₹1,099",₹399,63% off,"Set of 1, White",4,(3)
656,Cello Cello H2O 1000 ml Water Bottles,Cello,1000 ml,₹920,₹661,28% off,"Set of 6, Multicolor",4.4,(111)
657,Strauss Recharge Bottle 600 ml Shaker,Strauss,600 ml,₹449,₹242,46% off,"Pack of 1, Orange, Plastic",4.4,(122)
658,QUINERGYS ™ Spider 3 in 1 Protein Milk Plastic Shaker.5...,QUINERGYS,NaN,₹374,₹199,46% off,"Pack of 1, Green, Tritan, Plastic",4.1,(97)
659,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
660,"STAR GLARE StarGlare SHAKE ME BOTTLE FOR, PROTEIN / SIP...",STAR,NaN,₹499,₹250,49% off,"Pack of 1, Multicolor, Plastic",NaN,NaN
661,Epson L3150 Multi-function WiFi Color Printer,Epson,NaN,"₹13,999","₹13,499",3% off,"Black, Ink Bottle",4.2,"(8,555)"
662,Milton DEVIS FRIDGE WATER BOTTLE 1000 ml Bottle,Milton,1000 ml,₹485,₹289,40% off,"Pack of 4, Red, Blue, Green, Pink, PET",4,(90)
663,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
664,Borosil BORO _1 1000 ml Bottle,Borosil,1000 ml,"₹1,199",₹999,16% off,"Pack of 1, Red, Steel",4.4,(32)
665,Tupperware Round Fliptop Bottle Cool n Chic Rise n Shin...,Tupperware,NaN,₹650,₹589,9% off,"Pack of 2, Red, Blue, Plastic",4.6,(328)
666,Tupperware Bottle 1.5 L set of 2 1400 ml Bottle,Tupperware,1400 ml,₹700,₹595,15% off,"Pack of 2, Purple, Blue, Plastic",4.5,(505)
